buyer_county,year,prescription_rate,total_prescriptions,opioids_supplied_per_capita,high_school_graduate_includes_equivalency,some_college_or_associates_degree,bachelors_degree,graduate_or_professional_degree,median_household_income,dosage_unit,potential_pills_per_prescription,population,blind_and_disability_perc,unemployment_rate_bls,gdp_2020_dollars,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_or_more_races!!two_races_including_some_other_race,"two_or_more_races!!two_races_excluding_some_other_race,_and_three_or_more_races",male_perc,up_to_18,from_18_to_34,from_35_to_59_years,opioid_visit_count
Cape May,2007,105.5,101725.20999999999,39.66954636908589,35.36790729535335,23.54007306770179,17.704646649160864,9.201963694485672,59556.978003939585,3825017,37.60146575268806,96422,1.4716558461761837,6.6,4760404,91.75291945821492,4.995747858372571,0.4584016095911721,0.4584016095911721,0,0.8639107257679782,1.4706187384621767,0.5683350272759329,0.9022837111862438,48.190247039057475,32.61908716756178,17.090231253345145,28.927892512411642,NA
Cumberland,2007,89.7,139522.968,31.40587872241938,39.675533244859885,20.949935568249572,8.103975535168196,4.232300501990652,54846.94254760341,4884996,35.01212789567378,155544,2.8352106156457335,6.5,5516401,66.48986781875224,20.139638944607313,1.2183047883557063,1.204160880522553,0.06171887054466903,8.405338682302114,2.4809700149153935,0.6808362906958803,1.8001337242195137,52.18201923571465,36.972243839169906,22.73307392996109,28.69312581063554,NA
Essex,2007,42.9,332941.323,15.314103959994176,28.98666222602848,18.954784787642335,19.160957274716907,13.409537856440512,61279.71470781352,11885077,35.69721202795846,776087,2.7996861176646433,5.3,46354510,40.61103974167845,40.683583154981335,0.3719943769190825,4.429142609011619,0,12.152890075468344,1.7513500419411745,0.8108626996715573,0.9404873422696168,48.034176580718395,40.08771097314155,19.35291637882135,29.222056197705037,NA
Gloucester,2007,86,245747.58,37.78182206311045,37.660731160874505,25.13936227821489,18.181335541893628,6.959619448072288,81189.69435325015,10796269,43.932351236174945,285753,1.1947381129856904,4.3,11589471,84.51494822451558,9.7213327594111,0.108135347660392,2.444768733836565,0,1.39596084730519,1.8148540872711747,0.3314050946096804,1.4834489926614944,48.85338036696027,36.87206017863273,19.688145556164518,31.363113485385963,NA
Hudson,2007,37.9,226702.64,14.258917346529357,28.731881860634363,18.129419613075385,21.97780338407423,10.699496634119717,59168.67498358502,8529114,37.62247320983999,598160,2.5478132941019123,5,34992030,58.21669787347867,13.998428514109936,0.39571352146582855,11.195332352547812,0.07690250100307609,14.259897017520396,1.8570282198742811,0.9529222950381168,0.9041059248361644,49.65460746288618,34.2990087916862,23.218225885742378,31.69008448707542,NA
Hunterdon,2007,39.5,51092.46,16.169635402170886,23.938116581953263,21.808232585556823,28.08110242350769,19.150048381176944,114918.2216021011,2091510,40.93578582828073,129348,0.4429910010205028,2.8,6394758,90.8239787240622,2.7615425054890683,0.0672604137675109,3.2339116182700933,0,1.914215913659276,1.1990908247518324,0.2017812413025327,0.9973095834492997,49.11633732257167,35.69363584284782,14.694714965161669,35.82686081986651,NA
Mercer,2007,57,208305.93,18.521908665778263,27.30470534490635,22.24137215000623,20.019934382657087,17.75489015324557,80476.0873276428,6768813,32.49457660662853,365449,1.7250012997709667,3.8,24213207,65.42198774658023,20.00634835503723,0.19537609899055683,7.854994814597934,0.01778633954395825,4.930646957578213,1.5728596876718774,0.3089350360789057,1.2639246515929718,49.157337959605854,35.86881095273819,21.53366466616654,30.403225806451612,NA
Middlesex,2007,47.6,375387.40400000004,20.071837327818276,29.574500614381627,21.55545195271432,22.007130979367727,15.053010469968914,86357.90446487196,15829233,42.167725478609825,788629,0.8846999032498171,3.9,49091393,63.68710762601933,9.869786680428946,0.11665814977638408,18.32889736492064,0.01191941965106533,6.300681308955161,1.6849494502484692,0.388141952679904,1.296807497568565,49.457603004708176,35.88804869251189,20.294954285973475,31.71190551786551,NA
Monmouth,2007,63.3,406404.99,25.08088095571858,29.07670606140754,24.108746189289644,23.280946216202423,14.240108393539078,89626.98063033486,16102678,39.62224479576395,642030,0.8641340747317103,3.7,29221056,82.34023332243041,7.851502266249241,0.14594333598118467,5.038082332601281,0.00903384577044686,3.2299113748578723,1.3852935221095588,0.3323832219678208,1.052910300141738,48.916717287354174,37.40939904922296,16.614082585431365,32.36399198448059,NA
Morris,2007,48.5,236910.375,17.687904191616767,24.806504338629427,19.71161935437348,30.09067855683484,18.269716126240898,108454.52265265922,8640099,36.46990554972529,488475,0.48866369824453654,3,42774673,83.4224883566201,3.2067147755770513,0.27350427350427353,8.303393213572855,0.02088131429448795,3.49618711295358,1.27683095347766,0.28230718051077336,0.9945237729668868,49.4164491529761,37.174230773236495,15.485559748515008,33.352311585876016,NA
Ocean,2007,78.1,441650.03299999994,27.867780856703796,37.7588127291869,25.742934304416153,16.62250342032052,8.003041415122649,64466.31943532501,15759035,35.68217779347478,565493,0.8555366733098375,4.6,15803040,90.9222572162697,3.535852786860315,0.10822415131575458,1.6930359880670494,0,2.5887146259989073,1.1519152314882766,0.34041093346867246,0.8115042980196042,47.93817076427118,37.29958430016671,16.929368006828692,27.435264534856845,NA
Passaic,2007,45.4,223420.21,14.955746116253314,37.65235799055734,22.573988972033757,15.790185550407491,6.672139758869397,62484.7140512147,7359947,32.942172062231975,492115,2.148887963179338,5.3,20350971,57.499568190362005,12.30423783058838,0.1615476057425602,4.4761895085498304,0.07823374617721468,23.37217926704124,2.1080438515387665,0.8138341647785579,1.2942096867602084,48.83472359103055,39.97040627853803,18.912173250296966,28.974725176635378,NA
Salem,2007,77.4,51096.384,30.26955586524479,37.938917743152665,28.36596084698362,11.355262573800328,6.165934212278599,62989.85160866709,1998275,39.10795331426976,66016,1.887421231216675,5,5283089,80.3562772661173,15.426563257392148,0.3680925836160931,0.5074527387300048,0,1.3587615123606398,1.98285264178381,0.5392632089190499,1.44358943286476,49.674321376635966,36.152984977479235,17.782290608971856,31.172381473092244,NA
